Strain	Accession Number	Originating Lab.	Submitting Lab.
A/England/39/2019	EPI1369811	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Miyazaki/78/2018	EPI1425376	miyazaki_prefectural_institute_for_public_health_and_environment	national_institute_of_infectious_diseases_(niid)
A/Fujian-Xiangcheng/SWL1882/2018-egg	EPI1339119	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Fujian-Yanping/SWL146/2010	EPI258147	?	who_chinese_national_influenza_center
A/Yokohama/84/2011	EPI329067	yokohama_city_institute_of_public_health.	national_institute_of_infectious_diseases_(niid)
A/Singapore/13/2012	EPI394288	ministry_of_health,_singapore	who_collaborating_centre_for_reference_and_research_on_influenza
A/Ghana/3724/2018	EPI1393364	university_of_ghana	crick_worldwide_influenza_centre
A/Guizhou-Xixiu/SWL1883/2017	EPI1136247	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Netherlands/2418/2018	EPI1352614	erasmus_medical_center	erasmus_medical_center
A/Lyon/CHU/5227	EPI416408	crr_virus_influenza_region_sud	national_institute_for_medical_research
A/Norway/2633/2013	EPI465349	innlandet_hospital_trust,_division_lillehammer,_department_for_microbiology	norwegian_institute_of_public_health
A/CostaRica/6288/2012	EPI397601	laboratorio_nacional_de_influenza	centers_for_disease_control_and_prevention
A/Bangladesh/3190413016/2019	EPI1547554	icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh	centers_for_disease_control_and_prevention
A/Nevada/10167/2019	EPI1660169	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Mendoza/2672/2011	EPI334739	instituto_nacional_de_enfermedades_infecciosas	national_institute_for_medical_research
A/California/123/2017	EPI1118226	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Mauritius/I-406/2019	EPI1646983	central_health_laboratory	crick_worldwide_influenza_centre
A/Palencia/37/2011	EPI319514	universidad_de_valladolid	national_institute_for_medical_research
A/Scotland/Glasgow_413886/2009	EPI392131	?	other_database_import
A/Cameroon/13V-2476/2013	EPI487667	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/Colorado/24/2016	EPI792544	colorado_department_of_health_lab	centers_for_disease_control_and_prevention
A/Sichuan-Anyue/SWL77/2017	EPI1062840	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Taiwan/4909/2009	EPI349578	?	other_database_import
A/Shanghai-Songjiang/SWL11000/2015	EPI1338878	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Porth/2171/2019	EPI1407084	public_health_wales_microbiology_cardiff	public_health_wales_microbiology_cardiff
A/England/106/2018	EPI1194320	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/RhodeIsland/22/2009	EPI231451	rhode_island_department_of_health	centers_for_disease_control_and_prevention
A/Colombia/330/2009	EPI181736	instituto_nacional_de_salud_de_columbia	centers_for_disease_control_and_prevention
A/California/104/2018	EPI1337915	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Lisbon/85/2009	EPI272999	?	other_database_import
A/Finland/613/2009	EPI306198	?	other_database_import
A/Brownsville/31OS/2009	EPI224274	?	other_database_import
A/Newcastle/62/2011	EPI334777	john_hunter_hospital,_virology_unit,_clinical_microbiology	who_collaborating_centre_for_reference_and_research_on_influenza
A/Texas/JMS378/2009	EPI249728	?	other_database_import
A/Illinois/5/2020	EPI1703327	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Moscow/RII-455S/2019	EPI1655431	nic_russia,_ivanovsky_research_institute_of_virology	who_national_influenza_centre_russian_federation
A/Singapore/DMS133/2010	EPI634736	?	other_database_import
A/Bangalore/2285-44/2012	EPI615209	?	other_database_import
A/Darwin/95/2018	EPI1355269	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/Managua/55401/2009	EPI282297	?	other_database_import
A/Acores/13/2019	EPI1655520	instituto_nacional_de_saude_(insa)	crick_worldwide_influenza_centre
A/Dunedin/2/2018	EPI1281579	institute_of_environmental_science_and_research	who_collaborating_centre_for_reference_and_research_on_influenza
A/England/205/2019	EPI1491526	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Norway/3524/2018	EPI1393440	mikrobiologisk_laboratorium,_sykehuset_i_vestfold	crick_worldwide_influenza_centre
A/Moscow/72/2020	EPI1722061	nic_russia,_ivanovsky_research_institute_of_virology	n.f._gamaleya_research_center_for_epidemiology_and_microbiology
A/Singapore/KK777/2015	EPI724865	ministry_of_health,_singapore	ministry_of_health,_singapore
A/RhodeIsland/4/2016	EPI716587	rhode_island_department_of_health	centers_for_disease_control_and_prevention
A/Brunei/22/2019	EPI1489657	r.i.p.a.s._hospital,_department_of_laboratory_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Virginia/11683/2020	EPI1730500	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Victoria/866/2010	EPI294230	austin_health	who_collaborating_centre_for_reference_and_research_on_influenza
A/Darwin/31/2016	EPI835111	royal_darwin_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Shenzhen/2019-14178/2018	EPI1380918	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Yokohama/27/2019	EPI1413521	yokohama_city_institute_of_public_health.	national_institute_of_infectious_diseases_(niid)
A/Thailand/SR08103/2010	EPI702876	?	other_database_import
A/Cambodia/745/2014	EPI541529	national_public_health_laboratory	centers_for_disease_control_and_prevention
A/Michigan/304/2017	EPI1146974	michigan_department_of_community_health	centers_for_disease_control_and_prevention
A/Minnesota/4/2017	EPI917572	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Botosani/195345/2016	EPI770100	cantacuzino_institute	crick_worldwide_influenza_centre
A/Lebanon/9L-13/2009	EPI320593	?	other_database_import
A/Cameroon/15V-4100/2015	EPI624675	centre_pasteur_du_cameroun	crick_worldwide_influenza_centre
A/Finland/700/2009	EPI306277	?	other_database_import
A/Saga/85/2010	EPI295709	saga_prefectural_institute_of_public_health_and_pharmaceutical_research	national_institute_of_infectious_diseases_(niid)
A/Iraq/361/2014	EPI589524	national_influenza_centre_of_iraq	crick_worldwide_influenza_centre
A/England/103/2018	EPI1188840	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Catalonia/53/2009	EPI210377	barcelona,_facultad_de_medicina	national_institute_for_medical_research
A/Texas/203/2019	EPI1563909	baylor_scott_and_white_health	centers_for_disease_control_and_prevention
A/Tasmania/505/2018	EPI1324550	hobart_pathology	who_collaborating_centre_for_reference_and_research_on_influenza
A/Zambia/4-00339/2015	EPI733883	university_teaching_hospital	crick_worldwide_influenza_centre
A/Osaka/98/2019	EPI1627352	osaka_prefectural_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/NordPasDeCalais/463/2019	EPI1355847	?	institut_pasteur
A/Perth/242/2009	EPI215870	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Bulgaria/175/2016	EPI773212	national_centre_of_infectious_and_	crick_worldwide_influenza_centre
A/Brisbane/144/2019	EPI1647888	queensland_health_forensic_and_scientific_services_	who_collaborating_centre_for_reference_and_research_on_influenza
A/England/405/2015	EPI875121	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Vladivostok/121/2014	EPI539543	ivanovsky_research_institute_of_virology_rams	national_institute_for_medical_research
A/Georgia/25/2016	EPI762529	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Stockholm/33/2013	EPI497737	swedish_institute_for_infectious_disease_control	swedish_institute_for_infectious_disease_control
A/Colorado/6/2014	EPI517060	colorado_department_of_health_lab	centers_for_disease_control_and_prevention
A/Oman/6052/2018	EPI1328962	central_public_health_laboratory,_ministry_of_health	crick_worldwide_influenza_centre
A/Wakayama/132/2017	EPI1208877	wakayama_prefectural_research_center_of_environment_and_public_health	national_institute_of_infectious_diseases_(niid)
A/Mexico/2276/2018	EPI1329520	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Guangdong/1249/2009	EPI266485	?	other_database_import
A/Washington/348/2019	EPI1559151	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Moscow/CRIE-58/2013	EPI506132	?	other_database_import
A/Yucatan/85/2012	EPI590999	centro_de_investigaciones_regionales_dr._hideyo_noguchi	universidad_autonoma_de_yucatan
A/RheinlandPfalz/4/2018	EPI1176776	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute
A/Colombia/1359/2015	EPI586626	instituto_nacional_de_salud_de_columbia	centers_for_disease_control_and_prevention
A/Moscow/232/2019	EPI1672999	nic_russia,_ivanovsky_research_institute_of_virology	n.f._gamaleya_research_center_for_epidemiology_and_microbiology
A/Brazil/737/2013	EPI465500	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/Delaware/9/2013	EPI466954	delaware_public_health_lab	centers_for_disease_control_and_prevention
A/Georgia/6/2012	EPI368685	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Newcastle/67/2017	EPI1082629	john_hunter_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Texas/135/2018	EPI1325621	san_antonio_metropolitan_health	centers_for_disease_control_and_prevention
A/Alagoas/245/2018	EPI1249290	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/Wisconsin/629-D00579/2009	EPI218676	?	other_database_import
A/Florida/30/2019	EPI1434076	florida_department_of_health_tampa	centers_for_disease_control_and_prevention
A/California/24/2013	EPI467375	naval_health_research_center	centers_for_disease_control_and_prevention
A/Nepal/679A/2014	EPI574049	national_public_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Vietnam/13032030/2009	EPI405469	?	other_database_import
A/Nicaragua/AGA2-26/2011	EPI619973	?	other_database_import
A/Nevada/26/2016	EPI786556	southern_nevada_public_health_lab	other_database_import
A/NewCaledonia/28/2019	EPI1492594	institut_pasteur_new_caledonia	who_collaborating_centre_for_reference_and_research_on_influenza
A/Japan/PR1070/2009	EPI215252	?	other_database_import
A/CzechRepublic/192/2013	EPI488096	?	other_database_import
A/Iran/15583/2009	EPI267911	?	other_database_import
A/Jiangsu-Xiaguan/SWL1411/2009	EPI256213	?	who_chinese_national_influenza_center
A/Victoria/21/2019	EPI1493098	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Putian/SWL1481/2013	EPI585827	?	other_database_import
A/Cluj/133922/2013	EPI439303	cantacuzino_institute	cantacuzino_institute
A/Bangladesh/2005/2017	EPI1025135	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_an
A/Ekaterinburg/RII09/2013	EPI457295	who_national_influenza_centre_russian_federation	who_national_influenza_centre_russian_federation
A/Honduras/1965/2018	EPI1255641	laboratorio_nacional_de_virologia	centers_for_disease_control_and_prevention
A/NewYork/3014/2009	EPI179408	?	other_database_import
A/Taiwan/T1821/2009	EPI190841	?	other_database_import
A/Wisconsin/629-D01521/2009	EPI214516	?	other_database_import
A/Michigan/4/2016	EPI732879	university_of_michigan_sph_epid	centers_for_disease_control_and_prevention
A/HongKong/H090-678-V10/2009	EPI375693	?	other_database_import
A/Colorado/35/2019	EPI1480222	colorado_department_of_health_lab	centers_for_disease_control_and_prevention
A/DistrictOfColumbia/17/2018	EPI1246323	dc_public_health_lab	centers_for_disease_control_and_prevention
A/Dakar/6/2018	EPI1310067	institut_pasteur_de_dakar__	crick_worldwide_influenza_centre
A/Ankara/5138/2015	EPI760798	refik_saydam_national_public_health_agency	crick_worldwide_influenza_centre
A/Quebec/RV1432/2011	EPI353419	national_microbiology_laboratory,_health_canada	centers_for_disease_control_and_prevention
A/Bahrain/755/2019	EPI1697250	ministry_of_health_bahrain	centers_for_disease_control_and_prevention
A/Indonesia/Nihrd-Pdgd572/2014	EPI550779	ministry_of_health,_nihrd	centers_for_disease_control_and_prevention
A/Arizona/14/2020	EPI1725571	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Taiwan/297/2017	EPI1057529	center_for_disease_control	national_institute_of_infectious_diseases_(niid)
A/PaysDeLoire/2778/2018	EPI1354913	?	institut_pasteur
A/Lao/337/2019	EPI1507496	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/Fujian-Xinluo/SWL11263/2019	EPI1589843	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/NewCaledonia/72/2014-egg	EPI748149	institut_pasteur_new_caledonia	who_collaborating_centre_for_reference_and_research_on_influenza
A/Singapore/GP1578/2016	EPI874137	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Belgium/86/2009	EPI210371	scientific_institute_of_public_health	national_institute_for_medical_research
A/Shandong-Gangcheng/SWL1141/2019-egg	EPI1504269	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Slovenia/2625/2009	EPI210464	laboratory_for_virology,_national_institute_of_public_health	national_institute_for_medical_research
A/Jamaica/651/2018	EPI1282641	university_of_the_west_indies	centers_for_disease_control_and_prevention
A/Morocco/654/2016	EPI921448	institut_national_d_hygiene,_ministere_de_la_sante_sante	national_institute_of_hygiene
A/Budgam/AG_476/2020	EPI1696380	sher_i_kashmir_institute_of_medical_sciences	cnr_virus_des_infections_respiratoires___france_sud
A/Bangladesh/4008/2019	EPI1609732	icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh	centers_for_disease_control_and_prevention
A/Yokohama/84/2014	EPI534655	yokohama_city_institute_of_public_health.	national_institute_of_infectious_diseases_(niid)
A/Ghana/DILI-14-0567/2014	EPI574436	university_of_ghana	national_institute_for_medical_research
A/Guangdong/1759/2009	EPI250055	?	other_database_import
A/Latvia/12-063862/2015	EPI687808	state_agency,_infectology_center_of_latvia	crick_worldwide_influenza_centre
A/Catalonia/NSVH131078467/2018	EPI1305763	hospital_universitari_vall_d'hebron	hospital_universitari_vall_d'hebron
A/Singapore/ON2024/2009	EPI380313	?	other_database_import
A/Osaka/8/2014	EPI505147	osaka_prefectural_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Vietnam/3029/2013	EPI465497	national_institute_of_hygiene_and_epidemiology	centers_for_disease_control_and_prevention
A/ElSalvador/1/2019	EPI1546451	contiguo_a_hospital_rosales	centers_for_disease_control_and_prevention
A/JiangsuSucheng/SWL1148/2013	EPI684622	?	other_database_import
A/Shenzhen/2019-14183/2018	EPI1380933	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Guatemala/382/2018	EPI1312405	laboratorio_nacional_de_salud_guatemala	centers_for_disease_control_and_prevention
A/Brisbane/1001/2019	EPI1359961	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Kyiv/523/2018	EPI1361714	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	centers_for_disease_control_and_prevention
A/Wisconsin/114/2018	EPI1472823	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Phetchaburi/105/2017	EPI1058898	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	centers_for_disease_control_and_prevention
A/Taiwan/83795/2019	EPI1718586	center_for_disease_control	national_institute_of_infectious_diseases_(niid)
A/Jordan/2000/2017	EPI1188322	laboratory_directorate	crick_worldwide_influenza_centre
A/Shanghai-Huangpu/SWL12014/2015-egg	EPI1338822	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Kyiv/310/2016	EPI823593	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	crick_worldwide_influenza_centre
A/Slovenia/808/2014	EPI532792	laboratory_for_virology,_national_institute_of_public_health	national_institute_for_medical_research
A/Zhangzhou/SWL1229/2014	EPI585834	?	other_database_import
A/Lisbon/99/2009	EPI243970	instituto_nacional_de_saude	national_institute_for_medical_research
A/Cambodia/c0625453/2018	EPI1283132	institute_pasteur_du_cambodia	who_collaborating_centre_for_reference_and_research_on_influenza
A/India/1030/2017	EPI989234	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Brunei/2010/2009	EPI215775	qasya_diagnostic_services_sdn_bhd	who_collaborating_centre_for_reference_and_research_on_influenza
A/Florida/47/2019	EPI1441685	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Ecuador/533/2017	EPI1182022	inspi	centers_for_disease_control_and_prevention
A/RioGrandedoSul/709/2014	EPI1032084	lacen/rs___laboratório_central_de_saúde_pública_do_rio_grande_do_sul	instituto_oswaldo_cruz_fiocruz___laboratory_of_re
A/Nevsehir/1118/2014	EPI589588	refik_saydam_national_public_health_agency	crick_worldwide_influenza_centre
A/PaysDeLoire/861/2018	EPI1192880	?	institut_pasteur
A/Brisbane/23/2016	EPI765062	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Netherlands/227_Carb/2020	EPI1690187	erasmus_medical_center	erasmus_medical_center
A/Macau/601579/2019	EPI1595019	laboratorio_de_saude_publico	who_collaborating_centre_for_reference_and_research_on_influenza
A/Argentina/656/2011	EPI352407	instituto_nacional_de_enfermedades_infecciosas	centers_for_disease_control_and_prevention
A/Stockholm/76/2015	EPI774853	swedish_institute_for_infectious_disease_control	crick_worldwide_influenza_centre
A/Guyane/341/2017	EPI1197833	national_influenza_center_french_guiana_and_french_indies	centers_for_disease_control_and_prevention
A/Newcastle/125/2011	EPI349159	john_hunter_hospital,_virology_unit,_clinical_microbiology	who_collaborating_centre_for_reference_and_research_on_influenza
A/Wisconsin/629-D01883/2009	EPI214652	?	other_database_import
A/AthensGR/71/2014	EPI515412	hellenic_pasteur_institute	national_institute_for_medical_research
A/Arizona/18/2018	EPI1214334	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Hiroshima/201/2009-egg	EPI212317	?	other_database_import
A/Moscow/239/2015	EPI733115	russian_academy_of_medical_sciences	centers_for_disease_control_and_prevention
A/Singapore/TT278/2010	EPI385287	?	other_database_import
A/Malaysia/820/2009	EPI212455	?	other_database_import
A/Helsinki/694/2013	EPI473282	?	other_database_import
A/Texas/JMS382/2009	EPI252860	?	other_database_import
A/Moldova/63/2010	EPI278128	national_centre_for_preventive_medicine	national_institute_for_medical_research
A/Wyoming/5/2019	EPI1372958	wyoming_public_health_laboratory	centers_for_disease_control_and_prevention
A/SouthAustralia/1019/2018	EPI1328779	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Ukraine/8313/2019	EPI1506993	ministry_of_health_of_ukraine	crick_worldwide_influenza_centre
A/Sachsen/88/2018	EPI1548854	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute_nationales_referenzzentrum_f?r_influenza
A/Cameroon/LEID-03-11-1616/2011	EPI346690	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/SongKhla/160/2013	EPI552429	thai_national_influenza_center	thai_national_influenza_center
A/Guangxi-Xinbin/SWL11047/2015	EPI713657	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Shenzhen/2019-14180/2018	EPI1380924	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Shanghai-Changning/SWL1988/2015-egg	EPI1338774	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/NordrheinWestfalen/26/2017	EPI982562	robert_koch_institute	crick_worldwide_influenza_centre
A/Jordan/10237/2019	EPI1575064	laboratory_directorate	crick_worldwide_influenza_centre
A/Tomsk/5606V/2019	EPI1575092	state_research_center_of_virology_and_biotechnology_(vector)	crick_worldwide_influenza_centre
A/Virginia/11/2018	EPI1195999	virginia_division_of_consolidated_laboratories	centers_for_disease_control_and_prevention
A/California/73/2018	EPI1327775	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Srilanka/20/2013	EPI477532	medical_research_institute	who_collaborating_centre_for_reference_and_research_on_influenza
A/Brazil/122/2014	EPI538139	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/SouthCarolina/WRSP520/2009	EPI278043	?	other_database_import
A/SanDiego/INS14/2009	EPI308763	?	other_database_import
A/England/383/2015	EPI711929	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Nevada/44/2015	EPI756336	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/Nairobi/64/2009	EPI443141	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Singapore/401T/2009	EPI485493	?	other_database_import
A/Tanzania/2899/2016	EPI827751	national_influenza_lab	centers_for_disease_control_and_prevention
A/Texas/JMS410/2009	EPI253052	?	other_database_import
A/Wisconsin/137/2018	EPI1472998	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/PuertoRico/31/2014	EPI575863	puerto_rico_department_of_health	centers_for_disease_control_and_prevention
A/Cambodia/c0409405/2018	EPI1265823	institute_pasteur_du_cambodia	who_collaborating_centre_for_reference_and_research_on_influenza
A/NewYork/25/2019	EPI1433538	new_york_city_department_of_health	centers_for_disease_control_and_prevention
A/Oman/SQUH-59/2012	EPI622781	?	other_database_import
A/Myanmar/17M179/2017	EPI1260456	national_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Martinique/519/2019	EPI1507119	national_influenza_center_french_guiana_and_french_indies	centers_for_disease_control_and_prevention
A/Iowa/9/2019	EPI1382944	iowa_state_hygienic_laboratory	centers_for_disease_control_and_prevention
A/Lao/I894/2013	EPI497975	ministry_of_health_laos	national_institute_of_infectious_diseases_(niid)
A/Manitoba/RV2041/2009	EPI303428	?	other_database_import
A/Singapore/GP2395/2016	EPI874225	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Slovenia/2615/2018	EPI1393512	laboratory_for_virology,_national_institute_of_public_health	crick_worldwide_influenza_centre
A/Sydney/1014/2019	EPI1484073	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/AthensGR/984/2016	EPI711189	hellenic_pasteur_institute	hellenic_pasteur_institute
A/Washington/292/2019	EPI1558896	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Indiana/3/2020	EPI1705131	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Mississippi/11177/2020	EPI1709257	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Tennessee/30/2020	EPI1737952	tennessee_department_of_health_laboratory_nashville	centers_for_disease_control_and_prevention
A/Trollhattan/4/2015	EPI570036	?	swedish_institute_for_infectious_disease_control
A/PuntaArenas/79256/2018	EPI1392723	instituto_de_salud_publica_de_chile	instituto_de_salud_publica_de_chile
A/Hawaii/26/2018	EPI1211506	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Victoria/24/2019	EPI1594149	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Indiana/38/2016	EPI758526	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Montana/60/2016	EPI937261	montana_laboratory_services_bureau	other_database_import
A/Malaysia/2076756/2009	EPI374185	?	other_database_import
A/Swansea/8921/2018	EPI1324816	public_health_wales_microbiology_cardiff	public_health_wales_microbiology_cardiff
A/Slovenia/2794/2017	EPI1262407	laboratory_for_virology,_national_institute_of_public_health	centers_for_disease_control_and_prevention
A/Nara/39/2017	EPI1213523	nara_prefectural_institute_for_hygiene_and_environment	national_institute_of_infectious_diseases_(niid)
A/Norway/3401/2018	EPI1328926	who_national_influenza_centre	crick_worldwide_influenza_centre
A/NorthCarolina/42/2009	EPI233181	duke_university_health_system	centers_for_disease_control_and_prevention
A/Athens/95/2019	EPI1358832	hellenic_pasteur_institute	hellenic_pasteur_institute
A/Alabama/17/2019	EPI1396373	adph_bureau_of_clinical_laboratories	centers_for_disease_control_and_prevention
A/Helsinki/604/2013	EPI473156	?	other_database_import
A/Ontario/RV2001/2019	EPI1478513	public_health_ontario	public_health_agency_of_canada_(phac)
A/Sydney/30/2019	EPI1434689	clinical_virology_unit,_cdim	who_collaborating_centre_for_reference_and_research_on_influenza
A/KathmanduBGN/14-1/2009	EPI232312	headquarters_british_gurkhas_nepal	national_institute_for_medical_research
A/StPetersburg/RII-392S/2019	EPI1352372	?	who_national_influenza_centre_russian_federation
A/BritishColumbia/RV2946/2009	EPI303047	?	other_database_import
A/Darwin/324/2019	EPI1484481	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/SanDiego/INS60/2009	EPI246966	?	other_database_import
A/AthensGR/148/2016	EPI711169	hellenic_pasteur_institute	hellenic_pasteur_institute
A/Milan/18/2011	EPI352635	?	other_database_import
A/Alaska/11468/2020	EPI1728907	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Mexico/4593/2009	EPI179103	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Oman/4003/2014	EPI551988	central_public_health_laboratory,_ministry_of_health	national_institute_for_medical_research
A/Afghanistan/473/2016	EPI830570	national_public_health_laboratory	centers_for_disease_control_and_prevention
A/Wisconsin/45/2017	EPI989350	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Hiroshima/1/2011	EPI305357	center_for_public_health_and_environment,_hiroshima_prefectural_technology_research_institute	national_institute_of_infectious_diseases_(niid)
A/Wisconsin/41/2020	EPI1717192	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/Darwin/79/2018	EPI1336467	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/StPetersburg/RII1532M/2016	EPI836237	?	who_national_influenza_centre_russian_federation
A/Michigan/415/2018	EPI1343815	michigan_department_of_community_health	centers_for_disease_control_and_prevention
A/Nevada/47/2016	EPI866677	nevada_state_health_laboratory	centers_for_disease_control_and_prevention
A/Illinois/24/2019	EPI1437811	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Montana/33/2016	EPI757576	montana_laboratory_services_bureau	centers_for_disease_control_and_prevention
A/Texas/64/2009	EPI227835	texas_department_of_state_health_services_laboratory_services	centers_for_disease_control_and_prevention
A/StPetersburg/CRIE-GoVM/2011	EPI339344	?	other_database_import
A/Bangladesh/7190513004/2019	EPI1546150	icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh	centers_for_disease_control_and_prevention
A/Niedersachsen/28/2019	EPI1548820	robert_koch_institute_nationales_referenzzentrum_für_influenza	robert_koch_institute_nationales_referenzzentrum_f?r_influenza
A/Netherlands/229_Carb/2020	EPI1690179	erasmus_medical_center	erasmus_medical_center
A/Finland/977/2018	EPI1345911	national_institute_for_health_and_welfare	national_institute_for_health_and_welfare
A/Jordan/13989/2015	EPI748951	laboratory_directorate	crick_worldwide_influenza_centre
A/Lao/3055/2018	EPI1497096	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/Louisiana/29/2019	EPI1427624	louisiana_department_of_health_and_hospitals	centers_for_disease_control_and_prevention
A/Bangkok/49/2018	EPI1281564	who_national_influenza_centre,_national_institute_of_medical_research_(nimr)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Louisiana/1/2014	EPI508624	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/NewMexico/5/2012	EPI368430	new_mexico_department_of_health	centers_for_disease_control_and_prevention
